Average Linear Utility,Average Maximum Utility,Average Polarized Winner,Least Polarized Winner,Most Blocking Loser,Most Polarized Winner,Nash Product Welfare,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
2.2981261904761903,0.9274690476190475,0.16756558718730113,0.15012082888063932,0.0,0.17689633726160134,1.0161628777283809,0.194787652505391,0.007920775189181889,0.00010424742416059355,506524101772466624,STV,5,0.723827148352123
2.3560017857142856,0.899520833333333,0.15818143982811986,0.13323264099134316,0.0,0.16841911313366442,1.0395392098166398,0.16206700540994703,0.00794904183065172,0.00022257941365637723,506524101772466624,SSS,5,0.723827148352123
2.271872619047619,0.9132672619047618,0.1554652827928987,0.09583036623151427,0.0,0.17689633726160134,1.0105067070088398,0.13327369448754986,0.00905458486010295,0.0011267321850107787,506524101772466624,MES_ExMQ,5,0.723827148352123
2.2877625,0.8965648809523807,0.1569188674016005,0.09583036623151427,0.0,0.17689633726160134,1.0164850079862895,0.1296253489269436,0.010916745773326004,0.0011887650007107568,506524101772466624,MES_ExLR,5,0.723827148352123
2.5999214285714287,0.8752605158730157,0.09985467220907317,0.08223339634654193,0.015,0.11288639320274267,1.0841526207778087,0.7489040137346327,0.012458849812243928,0.00015760577032166248,1509866178949045760,SDV,5,0.9932384579019309
2.593026785714286,0.8725819444444444,0.10035151517334788,0.08223339634654193,0.0325,0.11288639320274267,1.0813096083596512,0.7572374067708691,0.01231524378303884,0.00015049273832451696,1509866178949045760,SSQ,5,0.9932384579019309
1.8945146825396824,0.8315194444444444,0.11198973192906292,0.08223339634654193,0.0025,0.1383481498314035,0.8416260533194589,0.39000179915968924,0.01797870148840481,0.0007200029184187348,1509866178949045760,AS,5,0.9932384579019309
2.6165769841269846,0.866999603174603,0.0961234067595652,0.08223339634654193,0.0,0.12819680575973916,1.097260784635259,0.6494096646654139,0.012367881326497208,0.0003479159717941508,1509866178949045760,STV,5,0.9932384579019309
2.625662896825397,0.8602724206349205,0.0935241922593241,0.08223339634654193,0.0,0.11288639320274267,1.0974668813510118,0.6880476939984463,0.01248375346935089,0.00015062160500102872,1509866178949045760,SSS,5,0.9932384579019309
2.978977182539683,0.6447339285714285,0.09861529326638153,0.09313440262443518,1.0925,0.11003561350840292,1.0919217911848162,2.400174856890803,0.1100225850405913,5.081487440783094e-5,1509866178949045760,MES_ExMQ,5,0.9932384579019309
2.8460541666666677,0.6424839285714286,0.10039401318989838,0.09313440262443518,1.0925,0.11892921312598709,1.0421714453063164,2.3684037666836297,0.10905440736237203,0.00011741797510797458,1509866178949045760,MES_ExLR,5,0.9932384579019309
2.5536986111111113,0.7864670634920633,0.10267168917566147,0.09384001956193518,0.1425,0.10803869501325213,1.0375520491501662,1.3152493098684248,0.056965799035666696,3.000483606968482e-5,633964685484769792,SDV,5,0.001116372162243695
2.7174388888888887,0.6462599206349208,0.09882070542929251,0.08533596040130802,0.88,0.10803869501325213,1.0110035425054684,2.283148634988318,0.10999207801415829,8.567829181244015e-5,633964685484769792,SSQ,5,0.001116372162243695
2.371567857142857,0.8685706349206348,0.1027899575380409,0.0927053656330244,0.2,0.10803869501325213,0.9906823522073369,0.8764284239308808,0.036104121315507845,3.8493442606040366e-5,633964685484769792,AS,5,0.001116372162243695
2.404275,0.8397287698412697,0.09700849683447482,0.08345135606919106,0.1375,0.10803869501325213,1.00960640254803,0.844565972906931,0.04373594471204956,0.0001392909318961115,633964685484769792,STV,5,0.001116372162243695
2.5002180555555555,0.8233087301587302,0.10244475838987932,0.0927053656330244,0.2,0.10803869501325213,1.0301388049228872,1.0630706915484938,0.044876597620427755,3.52727682903916e-5,633964685484769792,SSS,5,0.001116372162243695
2.2961466269841266,0.6753480158730159,0.09163169265535545,0.049390896531622784,0.8975,0.10803869501325213,0.8907123741199994,1.4591091304485941,0.10144280707861492,0.0005864428257802519,633964685484769792,MES_ExMQ,5,0.001116372162243695
