Average Polarized Winner,Harmonic Utility,Least Polarized Winner,Linear Utility,LogProduct Utility,Maximin Support,Maximum Utility,Most Blocking Loser,Most Polarized Winner,PreferredToRule,Variance Linear Utility,Variance Maximum Utility,Variance Polarized Winner,hpuid,methodname,numwinners,stratpct
0.12184749805458282,0.7956790016785134,0.11476279139569785,1.2228166666666667,0.16399707406239977,0.25967,0.4811,1.155,0.1269986920543604,0.0,2.571733044022012,0.16222807070201772,2.0467346695366127e-5,258116712029603232,AS,6,0.5763036049206177
0.12184749805458282,0.7956790016785134,0.11476279139569785,1.2228166666666667,0.16399707406239977,0.25967,0.4811,1.155,0.1269986920543604,0.0,2.571733044022012,0.16222807070201772,2.0467346695366127e-5,258116712029603232,DRB1,6,0.5763036049206177
0.12428192673883236,0.8027289091045688,0.12176118441165028,1.5609083333333333,0.15442928627869107,0.3084583333333334,0.30845833333333333,1.464,0.1269986920543604,0.0,4.289376390903787,0.16234421203657393,3.836602823620003e-6,258116712029603232,DRB2,6,0.5763036049206177
0.12184749805458282,0.7956790016785134,0.11476279139569785,1.2228166666666667,0.16399707406239977,0.25967,0.4811,1.155,0.1269986920543604,0.0,2.571733044022012,0.16222807070201772,2.0467346695366127e-5,258116712029603232,DRB3,6,0.5763036049206177
0.12428192673883236,0.8027289091045688,0.12176118441165028,1.5609083333333333,0.15442928627869107,0.3084583333333334,0.30845833333333333,1.464,0.1269986920543604,0.0,4.289376390903787,0.16234421203657393,3.836602823620003e-6,258116712029603232,DRB4,6,0.5763036049206177
0.12428192673883236,0.8027289091045688,0.12176118441165028,1.5609083333333333,0.15442928627869107,0.3084583333333334,0.30845833333333333,1.464,0.1269986920543604,0.0,4.289376390903787,0.16234421203657393,3.836602823620003e-6,258116712029603232,EAZ,6,0.5763036049206177
0.11962929756544938,0.539447347087189,0.11368948911955981,1.1421833333333333,-0.12582320909313047,0.21750833333333344,0.21750833333333333,2.358,0.1257662408287476,-1.0,4.199879117058528,0.15131453219665392,2.2566512635490014e-5,258116712029603232,MES_ExLR,6,0.5763036049206177
0.0732521446023938,0.37936022926623375,0.053670824023122676,0.699375,-0.2917410582138261,0.17518333333333327,0.17518333333333333,2.358,0.09024556472680792,-1.0,2.263171056014118,0.1316538488688789,0.00018571143570859846,258116712029603232,STV,6,0.5763036049206177
0.09069756207965092,0.8486463976825601,0.08112664936634983,1.164125,0.22295009153611026,0.39728529411764674,0.4698,0.429,0.09634308647379243,0.0,1.5705611816324834,0.14216904452226106,2.908500930109964e-5,992469238423087360,AS,6,0.9717923201683405
0.09114031447436678,0.8569616498027313,0.08378316373464502,1.1042083333333332,0.2325972639509143,0.41982499999999995,0.4672833333333334,0.429,0.09634308647379243,-1.0,1.0504682184842418,0.142354408037352,2.0091080543026067e-5,992469238423087360,DRB1,6,0.9717923201683405
